Team,Elo Rating
Gallatin Roller Derby / Team Montana Roller Derby,710
Elevated Roller Derby / All Stars,730
Chicago-Style Roller Derby / A,701
BOULDER COUNTY ROLLER DERBY / FLATIRON PHOENIXES,690
Palouse River Rollers,699
Les Quads de Paris / La Boucherie de Paris,715
Steel City Roller Derby / Steel Beamers,679
Steel City Roller Derby / Steel Hurtin',687
Roller Derby Quebec,741
Orlando Roller Derby / Ozone Slayers,699
Calgary Roller Derby / CRD All Stars,720
Brewcity Bruisers / AllStars,696
Bellingham Roller Betties / All Stars,696
Arizona Roller Derby / Arizona Rising ,716
Sun State Roller Derby / Killer Bees,691
Penn Jersey Roller Derby A,707
Helsinki Roller Derby / All Stars,653
Dock City Rollers / Dock City Anchors,684
Dirty Jersey Roller Derby / All-Stars,709
Adelaide Roller Derby / Ads,711
Susquehanna Valley Derby Vixens,701
South Sea Roller Derby / Sirens,729
Perth Roller Derby / West Coast Evils,681
Nantes Roller Derby / Les Duchesses,727
Madison Roller Derby / Dairyland Dolls,708
Kingston Roller Derby / Rogue Warriors,686
Hartford Area Roller Derby / Hartford Wailers,703
Detroit Roller Derby / Detroit Roller Derby- A,708
Detroit Roller Derby / Detroit Roller Derby- B,700
Chattanooga Roller Derby / Chattanooga B-Railers,715
Schuylkill County Scream Queens / Scream Queens,680
Montreal Roller Derby / Sexpos,679
Demolition City Roller Derby / Destroyers,667
Dallas Derby Devils / DDD: Army of Darkness,707
Stockholm Roller Derby / Allstars,695
Free State Roller Derby / Rock Villians,700
Fargo Moorhead Derby Girls / A Team,688
Bay State Brawlers Roller Derby / Brawlers,692
Tampa Roller Derby / Bruise Crew,680
Pikes Peak Roller Derby / All Stars,669
Peninsula Roller Derby / Supernovas A,704
Anchor City Rollers / Harbour Grudges,663
Valencia Roller Derby / Rayo Dockers,752
Tiger Bay Brawlers  / Tiger Bay Brawlers - Allstars,711
Team Montana,698
Roller Derby Québec / Équipe A,769
Muddy River Rollers / Lumbersmacks,689
Denver Roller Derby / Standbys,678
Crime City Rollers,694
Cornfed Roller Derby / All Stars,681
Blue Ridge Roller Derby / Y'all Stars,698
580 RollerGirls,694
TAMPERE ROLLER DERBY,695
State College Area Roller Derby,684
Auld Reekie Roller Derby / All Stars,683
Atlanta Roller Derby  / Atlanta Dirty South Derby,708
Atlanta Roller Derby  / Atlanta Rumble B's,726
Tampere Roller Derby,687
Oxford Roller Derby / Oxford Roller Derby A,700
New Hampshire Roller Derby / NH Roller Derby All Stars,691
Gem City Roller Derby / GCRD Purple Reign,706
Atlanta Roller Derby / Atlanta Dirty South Derby,702
Atlanta Roller Derby / Atlanta Rumble B's,711
Philly Roller Derby  / Philly Roller Derby,679
Atlanta Roller Derby  / Dirty South Derby,703
Vienna Roller Derby,723
Aalborg Roller Derby       ,718
WineTown Roller Derby,701
Traverse City Roller Derby / Toxic Cherries,710
Rock Town Roller Derby,707
PPRD / All-Stars,709
Oslo Roller Derby		,692
Morgantown Roller Derby / Morgantown Roller Vixens,689
Hartford Area Roller Derby / Wailers,667
Dutchland Derby Rollers / All Stars,693
Bradentucky Bombers / Bomb Squad,689
TULSA ELITE,679
